Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|IT-Grundlagen|Welche drei zentralen Komponenten bilden das fundamentale Gerüst einer klassischen IT-Umgebung und welche Funktion erfüllen sie primär?|Infrastruktur-Ebenen|Physik vs. Logik vs. Transport|Die IT basiert auf drei Säulen:<br>1. <b>Hardware</b>: Physische Komponenten (Server, Peripherie) zur Ausführung.<br>2. <b>Software</b>: Programme (OS, Apps) zur Steuerung und Anwendung.<br>3. <b>Netzwerke</b>: Systeme (LAN, WAN) für den Datenaustausch.|Dies ist die Basis für das Schichtenmodell. Ohne Hardware keine Ausführung, ohne Software keine Logik, ohne Netzwerk keine Kommunikation (Insel-Lösung). In der Prüfung wichtig für Fehlerisolation.|Ein Server (Hardware) läuft mit Linux (Software) und ist per Switch (Netzwerk) mit dem Client verbunden.|Hard=Hart, Soft=Weich, Net=Netz|Hardware (Physis), Software (Steuerung) und Netzwerke (Verbindung).|CPU, RAM und Festplatte (Nur Hardware-Komponenten).|Windows, Linux und MacOS (Nur Betriebssysteme).|Cloud, KI und Blockchain (Nur moderne Trends).|Infrastruktur Hardware Software Netzwerk Grundlagen E01
Bachelor Professional IT|Informationssysteme|Was umfasst der Bereich "Datenmanagement" über die reine Speicherung hinaus und welche Werkzeug-Kategorien sind hierfür essenziell?|Wertschöpfung aus Daten|Information vs. Rohdaten|<b>Datenmanagement</b> befasst sich mit der kompletten <b>Erfassung und Analyse</b> von Daten.<br>- Ziel: Gewinnung von Informationen für Entscheidungen.<br>- Werkzeuge: <b>Datenbanken</b> (Speicherung/Abruf) und <b>BI-Tools</b> (Business Intelligence zur Auswertung).|Daten sind das "neue Öl". Das Management wandelt Rohdaten in Wissen um (DIKW-Pyramide). Abgrenzung zur IT-Sicherheit (Schutz der Daten) und Storage (reiner Speicherplatz).|Ein Online-Shop speichert Verkäufe in einer SQL-DB und analysiert Kundentrends mit Tableau (BI).|Data = DB + BI|Erfassung und Analyse von Daten (Datenbanken & BI-Tools).|Nur die physische Sicherung auf Bändern (Backup).|Die Installation von Virenscannern (IT-Sicherheit).|Den Austausch von Daten über LAN/WAN (Netzwerke).|Datenmanagement BI Datenbank Analyse E01
Bachelor Professional IT|IT-Sourcing & Cloud|Ein Start-up möchte hohe Anfangsinvestitionen (CapEx) für eigene Server vermeiden und stattdessen Ressourcen flexibel anmieten. Welcher zentrale IT-Aspekt adressiert diese Anforderung?|OpEx statt CapEx|XaaS (Anything as a Service)|<b>Cloud-Computing</b>.<br>Es bezeichnet die Bereitstellung von IT-Ressourcen (Rechenleistung, Speicher, Software) über das <b>Internet</b>.<br>- Vorteil: Skalierbarkeit und "Pay-per-Use" statt Hardware-Kauf.|Wichtiger Shift im IT-Management: Weg vom eigenen Rechenzentrum (On-Premise) hin zu Providern (AWS, Azure). Reduziert Wartungsaufwand, erhöht aber Abhängigkeit (Vendor Lock-in).|Nutzung von AWS EC2 Instanzen statt Kauf eines physischen Servers für den Webshop.|Cloud = Wolke (Überall verfügbar)|Cloud-Computing (Ressourcenbereitstellung über Internet).|Anwendungsentwicklung (Erstellung eigener Software).|Datenmanagement (Analyse von Daten).|IT-Sicherheit (Schutz vor Zugriff).|Cloud Computing Sourcing Management E01
Bachelor Professional IT|Begriffsdefinitionen|Worauf liegt der primäre Fokus des Begriffs "Informationstechnik" und welche Elemente umfasst er konkret?|Ingenieurs-Sicht|Anfassbare Elemente|Der Begriff <b>Informationstechnik</b> hat einen rein technischen Fokus.<br>- Er bezieht sich auf die <b>physische Umsetzung</b> und die <b>apparativen Werkzeuge</b>.<br>- Kernbereiche: Hardware, Netzwerke, Verkabelung, Server-Racks (Infrastruktur).|Hier geht es um das "Wie" der physikalischen Datenverarbeitung. Es ist der Teil der IT, den man im Zweifel anfassen kann (oder der Strom verbraucht). Historisch oft mit "EDV-Technik" gleichgesetzt.|Der Austausch eines defekten Switches im Rechenzentrum ist eine reine Maßnahme der Informationstechnik.|Technik = Technisch (Hardware)|Technischer Fokus auf Hardware, Netzwerke und physische Infrastruktur.|Auf der betriebswirtschaftlichen Prozessoptimierung.|Auf der Entwicklung von Management-Strategien.|Auf der rein rechtlichen Bewertung von Daten.|Informationstechnik Hardware Definition Infrastruktur E01
Bachelor Professional IT|Begriffsdefinitionen|Warum wird "Informationstechnologie" als weiter gefasster Begriff definiert und welche Dimensionen kommen im Vergleich zur reinen Technik hinzu?|Management-Sicht|Ganzheitlicher Ansatz|<b>Informationstechnologie</b> bildet den umfassenden Rahmen für den Einsatz von Systemen im Unternehmen.<br>- Sie inkludiert: <b>Technik + Anwendung + Verwaltung + Organisation</b>.<br>- Dazu gehören Softwareentwicklung, Datenmanagement und die Gestaltung betrieblicher Prozesse.|Der Suffix "-logie" (Lehre von) deutet auf die Wissenschaft und das Management der Informationen hin, nicht nur auf das Gerät. Ein IT-Manager kümmert sich darum, wie die Technik den Geschäftsprozess unterstützt (Business Alignment).|Einführung eines ERP-Systems: Dies erfordert Server (Technik), aber vor allem Prozessanpassung und Schulung (Technologie/Organisation).|Technologie = Technik + Logik (Prozess)|Er integriert Technik, Anwendung, Organisation und Prozesse.|Er beschränkt sich ausschließlich auf Software-Programmierung.|Er ist nur ein modernes Synonym ohne inhaltlichen Unterschied.|Er ersetzt die Hardware komplett durch Cloud-Dienste.|Informationstechnologie Management Prozesse Organisation E01
Bachelor Professional IT|IT-Organisation|Ein Unternehmen möchte seine Abteilung "Technischer Support" umstrukturieren. Die Abteilung soll künftig nicht nur PCs reparieren, sondern auch Digitalisierungsstrategien entwickeln und Geschäftsprozesse optimieren. Welcher Begriff beschreibt das neue Aufgabengebiet korrekt?|Strategie vs. Reparatur|Vom Handwerk zum Management|<b>Informationstechnologie</b>.<br>Da der Aufgabenbereich über die reine apparative Wartung (Informationstechnik) hinausgeht und nun <b>Strategie, Prozesse und Datenmanagement</b> umfasst, ist dies der korrekte Begriff.|Dies spiegelt den Wandel der IT vom "Cost Center" (Reparaturtrupp) zum "Value Center" (Wertschöpfungspartner) wider. In der Prüfung müssen Sie oft begründen, warum IT-Leiter im Board sitzen sollten (wegen der Prozessverantwortung).|Der CIO (Chief Information Officer) verantwortet die Informationstechnologie, der Admin oft die Informationstechnik.|Technologie = Total (Alles umfassend)|Informationstechnologie.|Reine Informationstechnik.|Facility Management.|Elektrotechnik.|Informationstechnologie Strategie Management Szenario E01
Bachelor Professional IT|IT-Organisationsstruktur|Wie unterscheiden sich <b>Ebene 1</b> und <b>Ebene 3</b> in diesem Modell hinsichtlich ihres primären Fokus?|Top vs. Bottom|Nutzer vs. Physik|Der Unterschied liegt im Zielobjekt:<br>- <b>Ebene 1 (Geschäftsprozesse und User)</b>: Fokus auf die <b>Anwendung durch den Menschen</b> und die Unterstützung von Organisationsabläufen.<br>- <b>Ebene 3 (IT-Infrastruktur)</b>: Die technische Systemebene bestehend aus <b>Netzen und Plattformen</b>.|Dieses Modell erzwingt das Denken vom Kunden her (Top-Down). Die Technik (Ebene 3) ist kein Selbstzweck, sondern muss den Prozess (Ebene 1) ermöglichen. Infrastruktur ist das Fundament, der Prozess das Dach.|Ein Vertriebsmitarbeiter (Ebene 1) kann nicht arbeiten, weil der Switch (Ebene 3) ausgefallen ist.|1=Mensch, 3=Maschine|Ebene 1 = Prozess/Mensch (Anwendung), Ebene 3 = Technik (Netze/Plattformen).|Ebene 1 sind die Server, Ebene 3 sind die Anwender.|Beide Ebenen beschäftigen sich mit Software-Entwicklung.|Ebene 1 ist die Verwaltung, Ebene 3 das Management.|IT-Organisation Ebenenmodell Infrastruktur Prozesse E01
Bachelor Professional IT|IT-Services (Funktions-Ebene)|Welche spezifische Aufgabe erfüllt die <b>Ebene 2 (IT-Services)</b> und welche Komponenten sind ihr zugeordnet?|Mittler-Rolle|Software & OS|Die Ebene 2 fungiert als <b>Brücke</b> zwischen der reinen Technik (Ebene 3) und dem Geschäftsprozess (Ebene 1).<br>- Inhalt: <b>Applikationen, Portale und Betriebssysteme</b>.<br>- Funktion: Sie macht die Infrastruktur für den User nutzbar.|Ohne Ebene 2 ist Ebene 3 nur teures Metall ("Dead Metal") und Ebene 1 handlungsunfähig. Hier findet oft die Virtualisierung und Bereitstellung statt (z.B. Bereitstellung eines ERP-Clients).|Ein ERP-System (Ebene 2) läuft auf einem Server (Ebene 3), um die Buchhaltung (Ebene 1) zu erledigen.|Service = Brücke|Sie schlägt die Brücke zwischen Technik und Prozess (Applikationen, OS).|Sie stellt die physischen Kabel und Router bereit.|Sie definiert die Unternehmensziele und den Umsatz.|Sie dient nur der externen Kommunikation.|IT-Services Applikationen Betriebssysteme Schnittstelle E01
Bachelor Professional IT|Incident Management & Ebenen|Nach einem Server-Update können sich Mitarbeiter im Homeoffice nicht mehr im "Mitarbeiter-Portal" einloggen. Auf welcher Ebene liegt das ausgefallene Werkzeug (das Portal) selbst?|Klassifizierung|Wo "lebt" das Portal?|Das Portal befindet sich auf <b>Ebene 2 (IT-Services)</b>.<br>Begründung: Es ist eine Applikation/ein Service, der die Brücke schlägt zwischen der Technik (Server/Netz) und dem User (Mitarbeiter), der den Prozess (Urlaubsantrag/Zeiterfassung) durchführen will.|Wichtig für das Ticket-Routing: Ein Problem "im Portal" ist oft ein Applikations-Fehler (Ebene 2), auch wenn die Ursache vielleicht tiefer lag (Update auf Ebene 3). Die *Auswirkung* spürt der User auf Ebene 1.|Das "Intranet" ist ein klassischer IT-Service (Ebene 2).|Portal = Service (Ebene 2)|Ebene 2 (IT-Services/Funktionen).|Ebene 1 (Geschäftsprozess).|Ebene 3 (Infrastruktur).|Außerhalb des Modells (Extern).|Szenario Troubleshooting IT-Service Portal E01
Bachelor Professional IT|Cloud-Servicemodelle|Wo liegt die genaue Trennlinie bezüglich der <b>Verwaltung des Betriebssystems (OS)</b> zwischen IaaS und PaaS?|Shared Responsibility Model|Kontrolle vs. Komfort|Der Unterschied ist absolut:<br>- <b>IaaS</b>: Der Anbieter liefert nur Hardware/Virtualisierung. Der <b>Nutzer</b> installiert, patcht und verwaltet das <b>Betriebssystem</b> selbst.<br>- <b>PaaS</b>: Der Anbieter liefert die Plattform <b>inklusive Betriebssystem</b>. Der Nutzer kümmert sich nur um die Applikation.|Dies ist entscheidend für Compliance und Sicherheit. Wer muss patchen, wenn eine Linux-Sicherheitslücke auftritt? Bei IaaS Sie, bei PaaS der Cloud-Provider (z.B. AWS/Azure).|IaaS: Leere Wohnung mieten (Wände da, Einrichtung selbst). PaaS: Hotelzimmer (Möbel/Service da, nur Koffer auspacken).|IaaS = Ich (mache OS), PaaS = Provider (macht OS)|IaaS = Nutzer verwaltet OS; PaaS = Anbieter verwaltet OS.|Bei beiden Modellen verwaltet der Anbieter das OS komplett.|Bei IaaS verwaltet der Anbieter das OS, bei PaaS der Nutzer.|Das OS wird immer vom Nutzer installiert.|Cloud IaaS PaaS Betriebssystem Verantwortung E01
